TTL	Estimated OS	Packet Range
119	Networking Equipment (Router/Switch)	553-554
64	Linux	555-558
119	Networking Equipment (Router/Switch)	559-560
64	Linux	561-563
56	Android Device	564-565
64	Linux	566-566
56	Android Device	567-567
64	Linux	568-568
56	Android Device	569-571
64	Linux	572-574
56	Android Device	575-578
64	Linux	579-581
56	Android Device	582-582
64	Linux	583-584
56	Android Device	585-588
64	Linux	589-592
56	Android Device	593-596
64	Linux	597-598
56	Android Device	599-600
64	Linux	601-602
119	Networking Equipment (Router/Switch)	603-605
56	Android Device	606-608
55	Smart IoT Device	609-609
119	Networking Equipment (Router/Switch)	610-610
64	Linux	611-612
55	Smart IoT Device	613-613
118	IoT Device or Specialized Equipment	614-614
119	Networking Equipment (Router/Switch)	615-615
64	Linux	616-619
56	Android Device	620-625
64	Linux	626-630
55	Smart IoT Device	631-631
119	Networking Equipment (Router/Switch)	632-632
55	Smart IoT Device	633-633
64	Linux	634-634
119	Networking Equipment (Router/Switch)	635-635
64	Linux	636-638
55	Smart IoT Device	639-639
56	Android Device	640-642
64	Linux	643-646
119	Networking Equipment (Router/Switch)	647-647
64	Linux	648-648
119	Networking Equipment (Router/Switch)	649-651
64	Linux	652-653
119	Networking Equipment (Router/Switch)	654-654
64	Linux	655-655
119	Networking Equipment (Router/Switch)	656-659
64	Linux	660-664
118	IoT Device or Specialized Equipment	665-665
56	Android Device	666-668
64	Linux	669-671
119	Networking Equipment (Router/Switch)	672-672
64	Linux	673-676
56	Android Device	677-677
64	Linux	678-678
56	Android Device	679-679
120	Specialized Device (Unknown)	680-680
56	Android Device	681-681
120	Specialized Device (Unknown)	682-686
64	Linux	687-690
120	Specialized Device (Unknown)	691-691
64	Linux	692-692
120	Specialized Device (Unknown)	693-693
64	Linux	694-694
120	Specialized Device (Unknown)	695-695
64	Linux	696-696
120	Specialized Device (Unknown)	697-697
64	Linux	698-698
120	Specialized Device (Unknown)	699-700
64	Linux	701-702
120	Specialized Device (Unknown)	703-703
64	Linux	704-704
120	Specialized Device (Unknown)	705-705
64	Linux	706-706
120	Specialized Device (Unknown)	707-707
64	Linux	708-709
56	Android Device	710-711
64	Linux	712-712
56	Android Device	713-713
64	Linux	714-715
120	Specialized Device (Unknown)	716-716
64	Linux	717-717
56	Android Device	718-719
64	Linux	720-722
120	Specialized Device (Unknown)	723-723
56	Android Device	724-726
120	Specialized Device (Unknown)	727-730
64	Linux	731-731
120	Specialized Device (Unknown)	732-733
64	Linux	734-736
120	Specialized Device (Unknown)	737-737
55	Smart IoT Device	738-739
64	Linux	740-740
56	Android Device	741-741
64	Linux	742-742
55	Smart IoT Device	743-743
64	Linux	744-745
56	Android Device	746-747
64	Linux	748-749
229	Industrial Equipment	750-750
64	Linux	751-752
229	Industrial Equipment	753-753
64	Linux	754-755
229	Industrial Equipment	756-757
64	Linux	758-761
56	Android Device	762-762
229	Industrial Equipment	763-764
64	Linux	765-766
56	Android Device	767-767
64	Linux	768-769
56	Android Device	770-770
64	Linux	771-772
56	Android Device	773-773
64	Linux	774-775
56	Android Device	776-777
64	Linux	778-778
56	Android Device	779-780
64	Linux	781-781
229	Industrial Equipment	782-782
64	Linux	783-783
229	Industrial Equipment	784-784
64	Linux	785-786
229	Industrial Equipment	787-788
64	Linux	789-791
229	Industrial Equipment	792-793
64	Linux	794-795
229	Industrial Equipment	796-796
64	Linux	797-797
229	Industrial Equipment	798-799
64	Linux	800-801
56	Android Device	802-802
64	Linux	803-803
56	Android Device	804-804
64	Linux	805-805
55	Smart IoT Device	806-806
64	Linux	807-811
46	Low-End IoT Device	812-813
119	Networking Equipment (Router/Switch)	814-814
55	Smart IoT Device	815-815
64	Linux	816-817
45	Mobile Hotspot	818-818
119	Networking Equipment (Router/Switch)	819-819
55	Smart IoT Device	820-820
64	Linux	821-822
56	Android Device	823-824
64	Linux	825-829
119	Networking Equipment (Router/Switch)	830-831
64	Linux	832-832
120	Specialized Device (Unknown)	833-836
108	Unknown	837-837
119	Networking Equipment (Router/Switch)	838-838
64	Linux	839-841
119	Networking Equipment (Router/Switch)	842-842
64	Linux	843-844
120	Specialized Device (Unknown)	845-845
119	Networking Equipment (Router/Switch)	846-848
64	Linux	849-851
56	Android Device	852-853
55	Smart IoT Device	854-854
64	Linux	855-860
119	Networking Equipment (Router/Switch)	861-865
64	Linux	866-872
55	Smart IoT Device	873-875
64	Linux	876-878
119	Networking Equipment (Router/Switch)	879-880
109	Data Center Equipment	881-881
64	Linux	882-883
56	Android Device	884-886
64	Linux	887-888
55	Smart IoT Device	889-889
64	Linux	890-891
56	Android Device	892-892
55	Smart IoT Device	893-893
56	Android Device	894-894
55	Smart IoT Device	895-895
64	Linux	896-901
55	Smart IoT Device	902-904
64	Linux	905-908
56	Android Device	909-911
64	Linux	912-912
56	Android Device	913-913
55	Smart IoT Device	914-914
64	Linux	915-915
55	Smart IoT Device	916-916
64	Linux	917-917
55	Smart IoT Device	918-920
64	Linux	921-921
55	Smart IoT Device	922-922
64	Linux	923-923
55	Smart IoT Device	924-924
64	Linux	925-927
119	Networking Equipment (Router/Switch)	928-929
64	Linux	930-931
55	Smart IoT Device	932-933
119	Networking Equipment (Router/Switch)	934-934
64	Linux	935-938
56	Android Device	939-939
64	Linux	940-942
119	Networking Equipment (Router/Switch)	943-943
55	Smart IoT Device	944-944
119	Networking Equipment (Router/Switch)	945-946
55	Smart IoT Device	947-948
64	Linux	949-956
56	Android Device	957-957
55	Smart IoT Device	958-958
119	Networking Equipment (Router/Switch)	959-960
64	Linux	961-963
55	Smart IoT Device	964-964
119	Networking Equipment (Router/Switch)	965-965
55	Smart IoT Device	966-967
120	Specialized Device (Unknown)	968-969
56	Android Device	970-970
64	Linux	971-975
119	Networking Equipment (Router/Switch)	976-978
55	Smart IoT Device	979-979
64	Linux	980-984
119	Networking Equipment (Router/Switch)	985-986
64	Linux	987-989
53	Unknown IoT Device	990-990
64	Linux	991-992
52	Low Power Embedded System	993-993
55	Smart IoT Device	994-994
64	Linux	995-996
119	Networking Equipment (Router/Switch)	997-997
64	Linux	998-998
55	Smart IoT Device	999-999
64	Linux	1000-1000
55	Smart IoT Device	1001-1001
53	Unknown IoT Device	1002-1003
52	Low Power Embedded System	1004-1005
64	Linux	1006-1014
55	Smart IoT Device	1015-1016
119	Networking Equipment (Router/Switch)	1017-1019
55	Smart IoT Device	1020-1020
64	Linux	1021-1024
55	Smart IoT Device	1025-1029
64	Linux	1030-1035
55	Smart IoT Device	1036-1038
64	Linux	1039-1039
55	Smart IoT Device	1040-1040
1	Corrupted Packet or Malformed Packet	1041-1042
64	Linux	1043-1043
55	Smart IoT Device	1044-1044
